name,time,dataError,linkquality,usFlow,usLicz1,usTemp1,usTemp2
zaBramka,1628852302037708011,0,176,1.2558733820915222,0,4096.1,4096.1
zaBramka,1628852312040699551,0,176,1.2719156742095947,0,4096.1,4096.1
zaBramka,1628852322000725215,0,178,1.2174286544322968,0,4096.1,4096.1
zaBramka,1628852332347307468,0,176,1.2601567804813385,0,4096.1,4096.1
zaBramka,1628852342039246566,0,178,1.3309900760650635,0,4096.1,4096.1
zaBramka,1628852352352188352,0,178,1.2453621625900269,0,4096.1,4096.1
zaBramka,1628852362039467428,0,176,1.3919316530227661,0,4096.1,4096.1
zaBramka,1628852372032294111,0,176,1.3941698670387268,0,4096.1,4096.1
zaBramka,1628852381998698360,0,176,1.3297068178653717,0,4096.1,4096.1
zaBramka,1628852392031636435,0,176,1.420078843832016,0,4096.1,4096.1
zaBramka,1628852401992452630,0,176,1.2579418122768402,0,4096.1,4096.1
zaBramka,1628852412030421787,0,176,1.266106277704239,0,4096.1,4096.1
zaBramka,1628852422040922746,0,178,1.1730846762657166,0,4096.1,4096.1
zaBramka,1628852431999641951,0,176,1.2159193754196167,0,4096.1,4096.1
zaBramka,1628852441999370658,0,176,1.0915341675281525,0,4096.1,4096.1
zaBramka,1628852451992844690,0,176,1.2121963798999786,0,4096.1,4096.1
zaBramka,1628852462035287653,0,176,1.1997076570987701,0,4096.1,4096.1
zaBramka,1628852471999627543,0,176,1.1134384274482727,0,4096.1,4096.1
zaBramka,1628852481998599761,0,176,1.0493155717849731,0,4096.1,4096.1
zaBramka,1628852491997959900,0,176,1.0580693185329437,0,4096.1,4096.1
zaBramka,1628852501998203204,0,176,1.043815702199936,0,4096.1,4096.1
zaBramka,1628852512000235879,0,178,1.0966160595417023,0,4096.1,4096.1
zaBramka,1628852521990967427,0,176,1.0473842918872833,0,4096.1,4096.1
zaBramka,1628852531999770067,0,178,1.1495034098625183,0,4096.1,4096.1
zaBramka,1628852541990819817,0,178,1.114082783460617,0,4096.1,4096.1
zaBramka,1628852551991592734,0,176,1.0089983940124512,0,4096.1,4096.1
zaBramka,1628852561998407600,0,178,1.0804323256015778,0,4096.1,4096.1
zaBramka,1628852572000913834,0,178,0.9925924837589264,0,4096.1,4096.1
zaBramka,1628852581993023014,0,176,1.0812335908412933,0,4096.1,4096.1
zaBramka,1628852592000957457,0,176,1.0295902490615845,0,4096.1,4096.1
zaBramka,1628852602000223405,0,178,1.1027989089488983,0,4096.1,4096.1
zaBramka,1628852612001097700,0,178,1.0033946335315704,0,4096.1,4096.1
zaBramka,1628852621999677057,0,178,1.08481103181839,0,4096.1,4096.1
zaBramka,1628852631998897523,0,176,1.0777837336063385,0,4096.1,4096.1
zaBramka,1628852641991157643,0,176,1.1650011241436005,0,4096.1,4096.1
zaBramka,1628852651999368732,0,176,1.0272560119628906,0,4096.1,4096.1
zaBramka,1628852662039876923,0,178,1.0425157248973846,0,4096.1,4096.1
zaBramka,1628852671999243458,0,178,0.9147230386734009,0,4096.1,4096.1
zaBramka,1628852681991526517,0,176,0.9611631631851196,0,4096.1,4096.1
zaBramka,1628852691992761271,0,176,0.9146168231964111,0,4096.1,4096.1
zaBramka,1628852702001367413,0,176,1.0130445063114166,0,4096.1,4096.1
zaBramka,1628852712038282379,0,176,0.8925246298313141,0,4096.1,4096.1
zaBramka,1628852722321240470,0,178,1.0261878669261932,0,4096.1,4096.1
zaBramka,1628852732001618230,0,178,0.9613239169120789,0,4096.1,4096.1
zaBramka,1628852741992742928,0,176,0.9183833599090576,0,4096.1,4096.1
zaBramka,1628852751999975734,0,178,0.8897739350795746,0,4096.1,4096.1
zaBramka,1628852762001857415,0,176,0.9323526620864868,0,4096.1,4096.1
